C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-27-12-858.load
Comment s20b
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.260	266.800	106.950	134.550	508.300	0.260	0.000	2.360	17.110	19.470	0.260		
0.270	269.100	104.650	132.250	506.000	0.270	2.360	7.080	57.230	66.670	0.270		
0.280	271.400	104.650	129.950	506.000	0.280	0.000	12.390	109.740	122.130	0.280		
0.290	275.000	102.300	129.800	507.100	0.290	4.720	17.110	147.500	169.330	0.290		
0.300	275.000	102.300	126.500	503.800	0.300	1.380	19.320	166.980	187.680	0.300		
0.310	271.700	99.000	124.300	495.000	0.310	4.140	22.080	172.500	198.720	0.310		
0.320	259.600	94.600	122.100	476.300	0.320	6.900	24.840	176.640	208.380	0.320		
0.330	247.500	89.100	116.600	453.200	0.330	9.660	26.220	179.400	215.280	0.330		
0.340	232.100	82.500	112.200	426.800	0.340	6.900	28.980	186.300	222.180	0.340		
0.350	216.700	77.000	104.500	398.200	0.350	9.660	31.740	197.340	238.740	0.350		
0.360	204.600	71.500	99.000	375.100	0.360	12.420	37.260	207.000	256.680	0.360		
0.370	192.500	67.100	94.600	354.200	0.370	13.800	38.640	219.420	271.860	0.370		
0.380	181.500	64.900	92.400	338.800	0.380	13.800	41.400	234.600	289.800	0.380		
0.390	169.400	59.400	86.900	315.700	0.390	16.560	44.160	251.160	311.880	0.390		
0.400	157.300	57.200	84.700	299.200	0.400	16.560	46.920	271.860	335.340	0.400		
0.410	147.400	51.700	79.200	278.300	0.410	16.560	52.440	289.800	358.800	0.410		
0.420	137.500	49.500	77.000	264.000	0.420	19.320	52.440	311.880	383.640	0.420		
0.430	126.500	47.300	74.800	248.600	0.430	19.320	53.820	329.820	402.960	0.430		
0.440	120.000	44.640	72.480	237.120	0.440	22.080	59.340	345.000	426.420	0.440		
0.450	112.320	39.840	72.480	224.640	0.450	23.400	61.200	360.000	444.600	0.450		
0.460	102.240	37.440	67.200	206.880	0.460	21.600	66.600	370.800	459.000	0.460		
0.470	94.560	34.560	64.800	193.920	0.470	23.400	68.400	379.800	471.600	0.470		
0.480	87.360	34.560	62.400	184.320	0.480	23.400	72.000	388.800	484.200	0.480		
0.490	82.080	29.760	60.000	171.840	0.490	28.800	72.000	392.400	493.200	0.490		
0.500	74.880	29.760	54.720	159.360	0.500	32.400	73.800	396.000	502.200	0.500		
0.510	69.600	27.360	54.720	151.680	0.510	32.400	77.400	399.600	509.400	0.510		
0.520	64.800	27.360	52.320	144.480	0.520	34.200	77.400	406.800	518.400	0.520		
0.530	60.000	24.960	49.920	134.880	0.530	36.000	79.200	414.000	529.200	0.530		
0.540	52.320	22.080	47.040	121.440	0.540	36.000	81.000	421.200	538.200	0.540		
0.550	47.040	19.680	44.640	111.360	0.550	39.600	81.000	428.400	549.000	0.550		
0.560	42.240	17.280	42.240	101.760	0.560	39.600	84.600	433.800	558.000	0.560		
0.570	39.840	17.280	39.840	96.960	0.570	39.600	84.600	439.200	563.400	0.570		
0.580	34.560	17.280	39.840	91.680	0.580	41.400	84.600	444.600	570.600	0.580		
0.590	32.400	15.000	37.500	84.900	0.590	45.000	84.600	450.000	579.600	0.590		
0.600	24.900	12.450	34.950	72.300	0.600	45.990	83.220	455.520	584.730	0.600		
0.610	19.950	12.450	34.950	67.350	0.610	48.180	78.840	462.090	589.110	0.610		
0.620	15.000	9.900	32.400	57.300	0.620	50.370	81.030	470.850	602.250	0.620		
0.630	12.450	9.900	32.400	54.750	0.630	50.370	81.030	481.800	613.200	0.630		
0.640	12.450	9.900	30.000	52.350	0.640	48.180	81.030	490.560	619.770	0.640		
0.650	9.900	9.900	32.400	52.200	0.650	48.180	81.030	499.320	628.530	0.650		
0.660	7.500	9.900	30.000	47.400	0.660	50.370	81.030	508.080	639.480	0.660		
0.670	4.950	9.900	27.450	42.300	0.670	48.180	81.030	514.650	643.860	0.670		
0.680	2.400	9.900	27.450	39.750	0.680	48.180	81.030	519.030	648.240	0.680		
0.690	0.000	7.500	24.900	32.400	0.690	48.180	78.840	523.410	650.430	0.690		
0.700	0.000	7.500	24.900	32.400	0.700	48.180	78.840	525.600	652.620	0.700		
0.710	0.000	7.500	24.900	32.400	0.710	48.180	78.840	529.980	657.000	0.710		
0.720	0.000	7.500	22.500	30.000	0.720	45.990	78.840	532.170	657.000	0.720		
0.730	0.000	4.950	19.950	24.900	0.730	45.990	78.840	538.740	663.570	0.730		
0.740	0.000	4.970	17.500	22.470	0.740	43.800	76.650	547.500	667.950	0.740		
0.750	0.000	4.970	17.500	22.470	0.750	40.680	74.580	551.440	666.700	0.750		
0.760	0.000	4.970	17.500	22.470	0.760	38.420	74.580	555.960	668.960	0.760		
0.770	0.000	2.450	12.460	14.910	0.770	38.420	72.320	560.480	671.220	0.770		
0.780	0.000	4.970	14.980	19.950	0.780	36.160	72.320	565.000	673.480	0.780		
0.790	0.000	4.970	14.980	19.950	0.790	33.900	67.800	565.000	666.700	0.790		
0.800	0.000	2.450	14.980	17.430	0.800	33.900	67.800	565.000	666.700	0.800		
0.810	0.000	4.970	12.460	17.430	0.810	31.640	65.540	565.000	662.180	0.810		
0.820	0.000	4.970	14.980	19.950	0.820	31.640	65.540	565.000	662.180	0.820		
0.830	0.000	2.450	12.460	14.910	0.830	31.640	65.540	560.480	657.660	0.830		
0.840	0.000	2.450	12.460	14.910	0.840	31.640	65.540	560.480	657.660	0.840		
0.850	0.000	4.970	12.460	17.430	0.850	31.640	65.540	558.220	655.400	0.850		
0.860	0.000	2.450	12.460	14.910	0.860	29.380	65.540	555.960	650.880	0.860		
0.870	0.000	2.450	12.460	14.910	0.870	29.380	65.540	553.700	648.620	0.870		
0.880	0.000	4.970	14.980	19.950	0.880	29.380	65.540	551.440	646.360	0.880		
0.890	0.000	5.000	12.500	17.500	0.890	29.380	67.800	549.180	646.360	0.890		
0.900	0.000	5.000	12.500	17.500	0.900	31.640	67.800	551.440	650.880	0.900		
0.910	0.000	5.000	12.500	17.500	0.910	29.380	65.540	551.440	646.360	0.910		
0.920	0.000	5.000	12.500	17.500	0.920	29.380	67.800	555.960	653.140	0.920		
0.930	0.000	5.000	12.500	17.500	0.930	27.120	72.320	558.220	657.660	0.930		
0.940	0.000	5.000	12.500	17.500	0.940	29.380	67.800	560.480	657.660	0.940		
0.950	0.000	5.000	12.500	17.500	0.950	29.380	72.320	565.000	666.700	0.950		
