C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-11-22-632.load
Comment s7 w
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
4.630	249.480	169.560	99.360	518.400	4.630	24.490	99.540	194.340	318.370	4.630		
4.640	247.320	169.560	101.520	518.400	4.640	24.490	101.910	194.340	320.740	4.640		
4.650	245.000	169.540	101.920	516.460	4.650	24.490	101.910	194.340	320.740	4.650		
4.660	242.060	166.600	104.860	513.520	4.660	24.490	101.910	194.340	320.740	4.660		
4.670	242.060	166.600	104.860	513.520	4.670	24.490	104.280	194.340	323.110	4.670		
4.680	239.120	166.600	106.820	512.540	4.680	24.490	101.910	194.340	320.740	4.680		
4.690	237.160	166.600	106.820	510.580	4.690	24.490	101.910	194.340	320.740	4.690		
4.700	237.160	166.600	109.760	513.520	4.700	24.490	101.910	194.340	320.740	4.700		
4.710	234.220	166.600	109.760	510.580	4.710	24.490	101.910	194.340	320.740	4.710		
4.720	234.220	166.600	111.720	512.540	4.720	24.490	104.280	191.970	320.740	4.720		
4.730	234.220	166.600	114.660	515.480	4.730	26.860	107.440	194.340	328.640	4.730		
4.740	232.260	166.600	114.660	513.520	4.740	26.860	104.280	194.340	325.480	4.740		
4.750	229.320	166.600	114.660	510.580	4.750	24.490	104.280	194.340	323.110	4.750		
4.760	229.320	166.600	114.660	510.580	4.760	26.860	104.280	197.500	328.640	4.760		
4.770	227.360	164.640	116.620	508.620	4.770	26.860	104.280	194.340	325.480	4.770		
4.780	227.360	164.640	116.620	508.620	4.780	26.860	107.440	194.340	328.640	4.780		
4.790	227.360	164.640	116.620	508.620	4.790	26.860	107.440	194.340	328.640	4.790		
4.800	227.500	164.710	119.210	511.420	4.800	27.300	106.860	195.000	329.160	4.800		
4.810	222.040	164.710	119.210	505.960	4.810	27.300	106.860	195.000	329.160	4.810		
4.820	222.040	164.710	121.940	508.690	4.820	27.300	106.860	195.000	329.160	4.820		
4.830	222.040	164.710	119.210	505.960	4.830	29.640	109.980	195.000	334.620	4.830		
4.840	222.040	161.980	121.940	505.960	4.840	29.640	109.980	195.000	334.620	4.840		
4.850	222.040	161.980	121.940	505.960	4.850	29.640	109.980	195.000	334.620	4.850		
4.860	219.310	161.980	121.940	503.230	4.860	29.640	109.980	191.880	331.500	4.860		
4.870	219.310	161.980	121.940	503.230	4.870	29.640	109.980	191.880	331.500	4.870		
4.880	217.490	161.980	121.940	501.410	4.880	29.640	109.980	195.000	334.620	4.880		
4.890	217.490	161.980	121.940	501.410	4.890	29.640	109.980	195.000	334.620	4.890		
4.900	217.490	159.250	121.940	498.680	4.900	29.640	109.980	195.000	334.620	4.900		
4.910	217.490	159.250	124.670	501.410	4.910	29.640	109.980	195.000	334.620	4.910		
4.920	214.760	159.250	121.940	495.950	4.920	29.640	112.320	191.880	333.840	4.920		
4.930	214.760	159.250	121.940	495.950	4.930	29.640	112.320	191.880	333.840	4.930		
4.940	214.760	159.250	121.940	495.950	4.940	31.980	112.320	191.880	336.180	4.940		
4.950	215.000	159.960	122.120	497.080	4.950	31.980	114.660	195.000	341.640	4.950		
4.960	212.420	159.960	122.120	494.500	4.960	31.980	114.660	195.000	341.640	4.960		
4.970	212.420	157.380	124.700	494.500	4.970	31.980	114.660	195.000	341.640	4.970		
4.980	212.420	159.960	122.120	494.500	4.980	34.320	117.000	195.000	346.320	4.980		
4.990	212.420	157.380	124.700	494.500	4.990	31.980	117.000	191.880	340.860	4.990		
5.000	212.420	157.380	124.700	494.500	5.000	31.980	114.660	191.880	338.520	5.000		
5.010	212.420	159.960	124.700	497.080	5.010	31.980	117.000	195.000	343.980	5.010		
5.020	212.420	157.380	124.700	494.500	5.020	31.980	117.000	195.000	343.980	5.020		
5.030	212.420	157.380	124.700	494.500	5.030	34.320	117.000	191.880	343.200	5.030		
5.040	209.840	159.960	124.700	494.500	5.040	31.980	117.000	195.000	343.980	5.040		
5.050	209.840	157.380	124.700	491.920	5.050	34.320	117.000	191.880	343.200	5.050		
5.060	209.840	157.380	124.700	491.920	5.060	31.980	117.000	191.880	340.860	5.060		
5.070	209.840	157.380	124.700	491.920	5.070	31.980	117.000	189.540	338.520	5.070		
5.080	209.840	159.960	124.700	494.500	5.080	31.980	117.000	191.880	340.860	5.080		
5.090	212.420	157.380	124.700	494.500	5.090	31.980	117.000	191.880	340.860	5.090		
5.100	209.840	157.380	124.700	491.920	5.100	34.320	117.000	191.880	343.200	5.100		
5.110	212.420	157.380	124.700	494.500	5.110	34.320	117.000	191.880	343.200	5.110		
5.120	209.840	157.380	122.120	489.340	5.120	34.320	117.000	195.000	346.320	5.120		
5.130	212.420	157.380	122.120	491.920	5.130	34.320	117.000	195.000	346.320	5.130		
5.140	209.840	157.380	122.120	489.340	5.140	34.320	119.340	191.880	345.540	5.140		
5.150	209.840	157.380	122.120	489.340	5.150	34.320	119.340	195.000	348.660	5.150		
5.160	212.420	157.380	122.120	491.920	5.160	31.980	117.000	195.000	343.980	5.160		
5.170	212.420	157.380	122.120	491.920	5.170	34.320	119.340	195.000	348.660	5.170		
5.180	212.420	157.380	119.540	489.340	5.180	34.320	117.000	195.000	346.320	5.180		
5.190	212.420	157.380	119.540	489.340	5.190	34.320	119.340	195.000	348.660	5.190		
5.200	215.000	157.380	119.540	491.920	5.200	34.320	119.340	191.880	345.540	5.200		
5.210	215.000	157.380	116.960	489.340	5.210	34.320	119.340	195.000	348.660	5.210		
5.220	215.000	157.380	116.960	489.340	5.220	34.320	119.340	195.000	348.660	5.220		
5.230	215.000	157.380	116.960	489.340	5.230	34.320	117.000	195.000	346.320	5.230		
5.240	215.000	157.380	114.380	486.760	5.240	34.320	119.340	195.000	348.660	5.240		
5.250	217.360	156.640	114.400	488.400	5.250	34.760	119.290	191.970	346.020	5.250		
5.260	217.360	156.640	114.400	488.400	5.260	34.760	116.920	191.970	343.650	5.260		
5.270	217.360	156.640	114.400	488.400	5.270	34.760	119.290	194.340	348.390	5.270		
5.280	217.360	156.640	111.760	485.760	5.280	34.760	116.920	194.340	346.020	5.280		
5.290	217.360	156.640	111.760	485.760	5.290	32.390	116.920	194.340	343.650	5.290		
5.300	217.360	156.640	111.760	485.760	5.300	32.390	116.920	191.970	341.280	5.300		
5.310	220.000	156.640	111.760	488.400	5.310	32.390	116.920	191.970	341.280	5.310		
5.320	220.000	156.640	111.760	488.400	5.320	34.760	116.920	194.340	346.020	5.320		
5.330	220.000	156.640	111.760	488.400	5.330	32.390	116.920	194.340	343.650	5.330		
5.340	220.000	156.640	111.760	488.400	5.340	32.390	116.920	194.340	343.650	5.340		
5.350	220.000	156.640	111.760	488.400	5.350	32.390	116.920	197.500	346.810	5.350		
5.360	220.000	156.640	111.760	488.400	5.360	32.390	116.920	194.340	343.650	5.360		
5.370	220.000	156.640	111.760	488.400	5.370	32.390	116.920	197.500	346.810	5.370		
5.380	220.000	156.640	111.760	488.400	5.380	32.390	119.290	197.500	349.180	5.380		
5.390	220.000	156.640	111.760	488.400	5.390	32.390	116.920	197.500	346.810	5.390		
5.400	219.830	156.640	112.140	488.610	5.400	32.000	116.800	196.800	345.600	5.400		
5.410	219.830	156.640	112.140	488.610	5.410	32.000	116.800	196.800	345.600	5.410		
5.420	222.500	156.640	112.140	491.280	5.420	32.000	116.800	200.000	348.800	5.420		
5.430	219.830	156.640	112.140	488.610	5.430	34.400	116.800	196.800	348.000	5.430		
5.440	219.830	159.310	112.140	491.280	5.440	32.000	116.800	196.800	345.600	5.440		
5.450	219.830	156.640	112.140	488.610	5.450	32.000	116.800	196.800	345.600	5.450		
5.460	219.830	159.310	114.810	493.950	5.460	32.000	116.800	196.800	345.600	5.460		
5.470	219.830	159.310	112.140	491.280	5.470	32.000	116.800	196.800	345.600	5.470		
5.480	219.830	156.640	112.140	488.610	5.480	32.000	116.800	196.800	345.600	5.480		
5.490	219.830	156.640	112.140	488.610	5.490	32.000	116.800	196.800	345.600	5.490		
5.500	219.830	159.310	112.140	491.280	5.500	32.000	114.400	196.800	343.200	5.500		
5.510	219.830	156.640	112.140	488.610	5.510	32.000	116.800	200.000	348.800	5.510		
5.520	219.830	159.310	112.140	491.280	5.520	32.000	116.800	200.000	348.800	5.520		
