C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-01-42-928.load
Comment s7vw
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.390	517.060	37.650	0.000	554.710	0.390	0.000	29.440	157.440	186.880	0.390		
0.400	517.060	37.650	0.000	554.710	0.400	0.000	24.960	157.440	182.400	0.400		
0.410	519.570	40.160	0.000	559.730	0.410	0.000	22.400	154.880	177.280	0.410		
0.420	524.000	47.160	0.000	571.160	0.420	0.000	17.280	149.760	167.040	0.420		
0.430	529.240	49.780	0.000	579.020	0.430	0.000	17.280	144.640	161.920	0.430		
0.440	537.100	52.400	0.000	589.500	0.440	0.000	12.160	139.520	151.680	0.440		
0.450	544.960	55.020	0.000	599.980	0.450	0.000	9.540	132.500	142.040	0.450		
0.460	555.440	60.260	0.000	615.700	0.460	0.000	7.420	122.430	129.850	0.460		
0.470	565.920	65.500	0.000	631.420	0.470	0.000	4.770	109.710	114.480	0.470		
0.480	581.640	70.740	0.000	652.380	0.480	0.000	2.120	96.990	99.110	0.480		
0.490	597.360	78.600	0.000	675.960	0.490	0.000	2.120	82.150	84.270	0.490		
0.500	607.840	83.840	0.000	691.680	0.500	0.000	0.000	69.960	69.960	0.500		
0.510	620.940	86.460	0.000	707.400	0.510	0.000	0.000	57.240	57.240	0.510		
0.520	631.420	91.700	0.000	723.120	0.520	0.000	0.000	44.520	44.520	0.520		
0.530	636.660	94.320	0.000	730.980	0.530	0.000	0.000	32.330	32.330	0.530		
0.540	644.520	99.560	0.000	744.080	0.540	0.000	0.000	19.610	19.610	0.540		
0.550	649.760	102.180	0.000	751.940	0.550	0.000	0.000	7.420	7.420	0.550		
0.560	655.000	107.420	0.000	762.420	0.560	0.000	0.000	0.000	0.000	0.560		
0.570	659.920	105.120	0.000	765.040	0.570	0.000	0.000	0.000	0.000	0.570		
0.580	662.840	108.040	0.000	770.880	0.580	2.120	0.000	0.000	2.120	0.580		
0.590	668.680	108.040	0.000	776.720	0.590	2.120	0.000	0.000	2.120	0.590		
0.600	674.520	108.040	0.000	782.560	0.600	2.500	0.000	0.000	2.500	0.600		
0.610	674.520	108.040	0.000	782.560	0.610	2.500	0.000	0.000	2.500	0.610		
0.620	677.440	105.120	0.000	782.560	0.620	2.500	0.000	0.000	2.500	0.620		
0.630	677.440	105.120	0.000	782.560	0.630	2.500	0.000	0.000	2.500	0.630		
0.640	680.360	102.200	0.000	782.560	0.640	2.500	0.000	0.000	2.500	0.640		
0.650	686.200	102.200	0.000	788.400	0.650	2.500	0.000	0.000	2.500	0.650		
0.660	694.960	102.200	0.000	797.160	0.660	2.500	0.000	0.000	2.500	0.660		
0.670	700.800	102.200	0.000	803.000	0.670	2.500	0.000	0.000	2.500	0.670		
0.680	712.480	96.360	0.000	808.840	0.680	2.500	0.000	0.000	2.500	0.680		
0.690	715.400	93.440	0.000	808.840	0.690	2.500	0.000	0.000	2.500	0.690		
0.700	721.240	90.520	0.000	811.760	0.700	2.500	0.000	0.000	2.500	0.700		
0.710	730.000	87.600	0.000	817.600	0.710	2.500	0.000	0.000	2.500	0.710		
0.720	730.080	84.240	0.000	814.320	0.720	2.500	0.000	0.000	2.500	0.720		
