timestamp, HMD_x, HMD_y,HMD_z
494.879,10,-38.2186,1.7437,-1.2496
494.890,10,-38.2102,1.7435,-1.2513
494.901,10,-38.2017,1.7435,-1.2532
494.913,10,-38.1930,1.7439,-1.2551
494.924,10,-38.1843,1.7445,-1.2571
494.934,10,-38.1757,1.7450,-1.2590
494.946,10,-38.1671,1.7458,-1.2612
494.957,10,-38.1585,1.7471,-1.2633
494.968,10,-38.1499,1.7485,-1.2652
494.979,10,-38.1414,1.7499,-1.2672
494.990,10,-38.1331,1.7511,-1.2690
495.001,10,-38.1247,1.7523,-1.2707
495.012,10,-38.1165,1.7533,-1.2724
495.023,10,-38.1084,1.7544,-1.2739
495.035,10,-38.1003,1.7553,-1.2755
495.045,10,-38.0923,1.7562,-1.2768
495.056,10,-38.0843,1.7570,-1.2781
495.067,10,-38.0765,1.7578,-1.2793
495.078,10,-38.0687,1.7586,-1.2804
495.089,10,-38.0610,1.7594,-1.2815
495.100,10,-38.0532,1.7602,-1.2825
495.112,10,-38.0453,1.7610,-1.2834
495.123,10,-38.0376,1.7620,-1.2843
495.134,10,-38.0298,1.7631,-1.2852
495.145,10,-38.0220,1.7643,-1.2860
495.156,10,-38.0142,1.7653,-1.2868
495.179,10,-38.0066,1.7659,-1.2873
495.187,10,-37.9988,1.7665,-1.2880
495.196,10,-37.9833,1.7676,-1.2894
495.204,10,-37.9756,1.7679,-1.2900
495.219,10,-37.9680,1.7677,-1.2903
495.229,10,-37.9601,1.7676,-1.2907
495.241,10,-37.9522,1.7672,-1.2910
495.251,10,-37.9443,1.7670,-1.2914
495.263,10,-37.9363,1.7666,-1.2916
495.274,10,-37.9283,1.7661,-1.2917
495.285,10,-37.9202,1.7655,-1.2919
495.296,10,-37.9121,1.7647,-1.2920
495.307,10,-37.9039,1.7639,-1.2921
495.319,10,-37.8958,1.7629,-1.2920
495.330,10,-37.8876,1.7619,-1.2919
495.341,10,-37.8793,1.7609,-1.2918
495.352,10,-37.8710,1.7597,-1.2916
495.363,10,-37.8627,1.7584,-1.2914
495.374,10,-37.8545,1.7570,-1.2913
495.385,10,-37.8461,1.7556,-1.2910
495.396,10,-37.8378,1.7541,-1.2907
495.407,10,-37.8296,1.7528,-1.2904
495.419,10,-37.8212,1.7516,-1.2900
495.429,10,-37.8129,1.7504,-1.2895
495.440,10,-37.8045,1.7492,-1.2890
495.451,10,-37.7961,1.7480,-1.2884
495.462,10,-37.7876,1.7470,-1.2878
495.474,10,-37.7791,1.7463,-1.2871
495.484,10,-37.7704,1.7458,-1.2863
495.496,10,-37.7618,1.7457,-1.2855
495.507,10,-37.7529,1.7456,-1.2846
495.518,10,-37.7442,1.7454,-1.2837
495.529,10,-37.7353,1.7453,-1.2828
495.540,10,-37.7263,1.7456,-1.2818
495.551,10,-37.7175,1.7467,-1.2809
495.562,10,-37.7087,1.7477,-1.2799
495.574,10,-37.6998,1.7486,-1.2790
495.585,10,-37.6910,1.7496,-1.2782
495.596,10,-37.6821,1.7511,-1.2774
495.607,10,-37.6734,1.7525,-1.2768
495.619,10,-37.6650,1.7538,-1.2762
495.630,10,-37.6567,1.7547,-1.2757
