timestamp, HMD_x, HMD_y,HMD_z
157.725,10,-36.4173,1.8438,-1.3027
157.737,10,-36.4073,1.8418,-1.3040
157.748,10,-36.3973,1.8397,-1.3054
157.759,10,-36.3873,1.8376,-1.3068
157.770,10,-36.3775,1.8358,-1.3084
157.781,10,-36.3675,1.8343,-1.3100
157.792,10,-36.3576,1.8331,-1.3116
157.803,10,-36.3476,1.8320,-1.3133
157.815,10,-36.3376,1.8312,-1.3153
157.826,10,-36.3276,1.8303,-1.3172
157.837,10,-36.3176,1.8294,-1.3193
157.848,10,-36.3077,1.8286,-1.3214
157.859,10,-36.2978,1.8280,-1.3236
157.870,10,-36.2879,1.8283,-1.3258
157.881,10,-36.2780,1.8292,-1.3280
157.892,10,-36.2682,1.8306,-1.3303
157.903,10,-36.2586,1.8317,-1.3326
157.915,10,-36.2490,1.8332,-1.3348
157.926,10,-36.2395,1.8350,-1.3370
157.937,10,-36.2303,1.8373,-1.3386
157.948,10,-36.2210,1.8396,-1.3405
157.959,10,-36.2119,1.8416,-1.3425
157.970,10,-36.2029,1.8430,-1.3443
157.981,10,-36.1940,1.8440,-1.3461
157.992,10,-36.1851,1.8446,-1.3475
158.004,10,-36.1762,1.8455,-1.3487
158.015,10,-36.1676,1.8469,-1.3498
158.026,10,-36.1588,1.8489,-1.3507
158.037,10,-36.1500,1.8510,-1.3516
158.048,10,-36.1415,1.8528,-1.3523
158.059,10,-36.1329,1.8546,-1.3531
158.070,10,-36.1245,1.8564,-1.3534
158.081,10,-36.1157,1.8582,-1.3537
158.093,10,-36.1074,1.8599,-1.3539
158.104,10,-36.0990,1.8615,-1.3535
158.114,10,-36.0909,1.8629,-1.3535
158.126,10,-36.0830,1.8641,-1.3537
158.137,10,-36.0749,1.8651,-1.3537
158.148,10,-36.0671,1.8658,-1.3536
158.159,10,-36.0591,1.8663,-1.3534
158.170,10,-36.0510,1.8665,-1.3531
158.181,10,-36.0430,1.8666,-1.3529
158.192,10,-36.0349,1.8665,-1.3524
158.204,10,-36.0269,1.8664,-1.3520
158.215,10,-36.0188,1.8665,-1.3516
158.226,10,-36.0109,1.8664,-1.3511
