timestamp, HMD_x, HMD_y,HMD_z
760.377,10,-36.8069,1.8008,-1.2405
760.388,10,-36.7974,1.8031,-1.2398
760.400,10,-36.7880,1.8051,-1.2391
760.410,10,-36.7786,1.8071,-1.2386
760.421,10,-36.7692,1.8092,-1.2382
760.433,10,-36.7597,1.8113,-1.2378
760.444,10,-36.7504,1.8133,-1.2376
760.455,10,-36.7409,1.8153,-1.2374
760.466,10,-36.7316,1.8175,-1.2373
760.478,10,-36.7223,1.8196,-1.2373
760.496,10,-36.7133,1.8213,-1.2374
760.510,10,-36.6950,1.8247,-1.2372
760.530,10,-36.6771,1.8271,-1.2371
760.551,10,-36.6597,1.8288,-1.2372
760.562,10,-36.6509,1.8293,-1.2372
760.576,10,-36.6421,1.8295,-1.2373
760.588,10,-36.6334,1.8295,-1.2374
760.599,10,-36.6245,1.8296,-1.2374
760.611,10,-36.6157,1.8294,-1.2375
760.622,10,-36.6069,1.8290,-1.2375
760.635,10,-36.5979,1.8284,-1.2376
760.646,10,-36.5889,1.8278,-1.2376
760.657,10,-36.5801,1.8269,-1.2376
760.668,10,-36.5711,1.8258,-1.2377
760.680,10,-36.5623,1.8248,-1.2377
760.691,10,-36.5534,1.8234,-1.2378
760.704,10,-36.5444,1.8220,-1.2380
760.715,10,-36.5355,1.8204,-1.2381
760.727,10,-36.5266,1.8186,-1.2382
760.737,10,-36.5175,1.8166,-1.2384
760.749,10,-36.5084,1.8147,-1.2386
760.760,10,-36.4993,1.8128,-1.2387
760.772,10,-36.4902,1.8109,-1.2390
760.784,10,-36.4720,1.8074,-1.2395
760.795,10,-36.4627,1.8054,-1.2398
760.810,10,-36.4534,1.8035,-1.2401
760.822,10,-36.4441,1.8016,-1.2405
760.833,10,-36.4349,1.7999,-1.2408
760.844,10,-36.4257,1.7984,-1.2412
760.855,10,-36.4165,1.7971,-1.2416
760.866,10,-36.4072,1.7960,-1.2420
760.877,10,-36.3980,1.7950,-1.2425
760.889,10,-36.3888,1.7941,-1.2429
760.900,10,-36.3797,1.7935,-1.2435
760.911,10,-36.3705,1.7932,-1.2440
760.923,10,-36.3612,1.7932,-1.2446
760.934,10,-36.3523,1.7933,-1.2451
760.946,10,-36.3434,1.7936,-1.2456
760.957,10,-36.3346,1.7941,-1.2461
760.969,10,-36.3256,1.7950,-1.2465
760.980,10,-36.3166,1.7961,-1.2470
760.991,10,-36.3077,1.7975,-1.2473
761.003,10,-36.2988,1.7992,-1.2475
761.014,10,-36.2899,1.8007,-1.2478
761.026,10,-36.2812,1.8022,-1.2479
761.037,10,-36.2725,1.8035,-1.2478
761.048,10,-36.2640,1.8047,-1.2477
761.059,10,-36.2554,1.8059,-1.2474
761.071,10,-36.2471,1.8073,-1.2470
761.082,10,-36.2387,1.8087,-1.2466
761.093,10,-36.2303,1.8103,-1.2460
761.104,10,-36.2218,1.8117,-1.2453
761.114,10,-36.2131,1.8133,-1.2445
761.125,10,-36.2044,1.8149,-1.2438
761.136,10,-36.1958,1.8165,-1.2429
761.147,10,-36.1871,1.8180,-1.2419
761.157,10,-36.1784,1.8194,-1.2410
761.168,10,-36.1698,1.8205,-1.2399
761.178,10,-36.1613,1.8214,-1.2389
761.189,10,-36.1528,1.8223,-1.2378
761.200,10,-36.1444,1.8227,-1.2365
761.211,10,-36.1360,1.8232,-1.2353
761.221,10,-36.1275,1.8235,-1.2341
761.232,10,-36.1192,1.8236,-1.2328
761.243,10,-36.1108,1.8235,-1.2316
761.254,10,-36.1025,1.8233,-1.2303
761.265,10,-36.0941,1.8230,-1.2290
761.276,10,-36.0858,1.8225,-1.2276
761.287,10,-36.0775,1.8220,-1.2263
761.298,10,-36.0691,1.8214,-1.2249
761.309,10,-36.0608,1.8207,-1.2236
761.320,10,-36.0524,1.8199,-1.2222
761.331,10,-36.0440,1.8191,-1.2208
761.342,10,-36.0357,1.8183,-1.2194
761.353,10,-36.0273,1.8173,-1.2179
761.363,10,-36.0191,1.8163,-1.2166
761.375,10,-36.0108,1.8151,-1.2151
761.386,10,-36.0026,1.8138,-1.2136
761.397,10,-35.9944,1.8124,-1.2121
761.410,10,-35.9862,1.8107,-1.2105
761.424,10,-35.9780,1.8092,-1.2089
761.434,10,-35.9698,1.8079,-1.2074
761.446,10,-35.9615,1.8067,-1.2058
761.461,10,-35.9450,1.8045,-1.2027
761.484,10,-35.9290,1.8023,-1.1995
761.494,10,-35.9211,1.8011,-1.1979
761.509,10,-35.9132,1.8004,-1.1963
761.521,10,-35.9053,1.8002,-1.1947
761.532,10,-35.8974,1.8002,-1.1931
761.545,10,-35.8898,1.8009,-1.1917
761.556,10,-35.8824,1.8013,-1.1900
761.566,10,-35.8750,1.8017,-1.1885
761.577,10,-35.8676,1.8023,-1.1870
761.588,10,-35.8603,1.8037,-1.1855
761.600,10,-35.8531,1.8058,-1.1841
761.610,10,-35.8458,1.8080,-1.1827
761.621,10,-35.8391,1.8105,-1.1814
761.633,10,-35.8323,1.8125,-1.1800
761.644,10,-35.8256,1.8145,-1.1788
761.655,10,-35.8191,1.8165,-1.1775
761.666,10,-35.8126,1.8183,-1.1763
